height,weight,size
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
160.0,52.0,M
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
158.0,50.0,S
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
158.0,50.0,S
157.0,58.0,M
157.0,58.0,M
157.0,58.0,M
157.0,58.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
164.0,48.0,M
164.0,48.0,M
164.0,48.0,M
164.0,48.0,M
159.0,54.0,M
159.0,54.0,M
159.0,54.0,M
159.0,54.0,M
159.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
166.0,46.0,S
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
170.0,59.0,M
170.0,59.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
168.0,55.0,S
165.0,57.0,S
165.0,57.0,S
165.0,57.0,S
165.0,57.0,S
165.0,57.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
157.0,53.0,S
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
163.0,52.0,M
163.0,52.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
165.0,57.0,M
165.0,57.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
168.0,50.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
161.0,55.0,S
161.0,55.0,S
161.0,55.0,S
161.0,55.0,S
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
170.0,70.0,L
170.0,70.0,L
170.0,70.0,L
170.0,70.0,L
170.0,70.0,L
167.0,56.0,M
167.0,56.0,M
167.0,56.0,M
167.0,56.0,M
167.0,56.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
168.0,58.0,L
168.0,58.0,L
168.0,58.0,L
168.0,58.0,L
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
162.0,66.0,XL
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
163.0,56.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
157.0,49.0,S
157.0,49.0,S
157.0,49.0,S
157.0,49.0,S
157.0,49.0,S
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
164.0,66.0,M
164.0,66.0,M
164.0,66.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
168.0,58.0,L
168.0,58.0,L
168.0,58.0,L
168.0,58.0,L
168.0,58.0,L
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
160.0,65.0,L
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
164.0,66.0,M
164.0,66.0,M
164.0,66.0,M
164.0,66.0,M
164.0,66.0,M
164.0,66.0,M
163.0,57.0,L
163.0,57.0,L
163.0,57.0,L
163.0,57.0,L
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
172.0,57.0,M
158.0,70.0,XL
158.0,70.0,XL
158.0,70.0,XL
158.0,70.0,XL
163.0,57.0,L
163.0,57.0,L
163.0,57.0,L
163.0,57.0,L
163.0,57.0,L
158.0,70.0,XL
158.0,70.0,XL
158.0,70.0,XL
158.0,70.0,XL
158.0,70.0,XL
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
166.0,55.0,S
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
165.0,50.0,M
165.0,50.0,M
165.0,50.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
157.0,43.0,S
157.0,43.0,S
157.0,43.0,S
157.0,43.0,S
157.0,43.0,S
160.0,70.0,L
160.0,70.0,L
160.0,70.0,L
157.0,43.0,S
157.0,43.0,S
157.0,43.0,S
160.0,70.0,L
160.0,70.0,L
160.0,70.0,L
160.0,70.0,L
160.0,70.0,L
157.0,43.0,S
157.0,43.0,S
164.0,48.0,S
164.0,48.0,S
164.0,48.0,S
160.0,70.0,L
160.0,70.0,L
157.0,43.0,S
157.0,43.0,S
157.0,43.0,S
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
156.0,47.0,M
156.0,47.0,M
156.0,47.0,M
156.0,47.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,46.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
170.0,62.0,XL
170.0,62.0,XL
170.0,62.0,XL
170.0,62.0,XL
170.0,62.0,XL
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
159.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
157.0,44.0,S
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
150.0,46.0,M
150.0,46.0,M
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
163.0,55.0,M
160.0,58.0,L
160.0,58.0,L
160.0,58.0,L
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
170.0,58.0,M
154.0,43.0,S
154.0,43.0,S
154.0,43.0,S
154.0,43.0,S
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
162.0,50.0,M
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
166.0,60.0,L
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
160.0,70.0,L
160.0,70.0,L
160.0,70.0,L
160.0,70.0,L
158.0,70.0,XL
158.0,70.0,XL
158.0,70.0,XL
161.0,59.0,L
161.0,59.0,L
161.0,59.0,L
161.0,59.0,L
163.0,77.0,XL
163.0,77.0,XL
163.0,77.0,XL
161.0,53.0,S
161.0,53.0,S
161.0,53.0,S
161.0,53.0,S
161.0,53.0,S
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
158.0,56.0,M
165.0,53.0,M
165.0,53.0,M
150.0,46.0,M
150.0,46.0,M
160.0,57.0,L
160.0,57.0,L
160.0,57.0,L
160.0,57.0,L
160.0,57.0,L
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
160.0,54.0,M
165.0,53.0,M
165.0,53.0,M
165.0,53.0,M
165.0,53.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
167.0,50.0,M
165.0,53.0,M
165.0,53.0,M
165.0,53.0,M
165.0,53.0,M
160.0,55.0,M
160.0,55.0,M
160.0,55.0,M
160.0,55.0,M
169.0,75.0,L
169.0,75.0,L
169.0,75.0,L
169.0,75.0,L
160.0,55.0,M
160.0,55.0,M
160.0,55.0,M
160.0,55.0,M
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
167.0,68.0,XL
161.0,62.0,L
161.0,62.0,L
161.0,62.0,L
161.0,62.0,L
161.0,62.0,L
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
161.0,50.0,M
160.0,58.0,L
160.0,58.0,L
160.0,58.0,L
160.0,58.0,L
160.0,58.0,L
160.0,58.0,L
160.0,58.0,L
160.0,58.0,L
167.0,68.0,XL
167.0,68.0,XL
157.0,49.0,S
157.0,49.0,S
157.0,49.0,S
157.0,49.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
168.0,58.0,M
168.0,58.0,M
168.0,58.0,M
163.0,65.0,L
163.0,65.0,L
163.0,65.0,L
163.0,65.0,L
163.0,65.0,L
163.0,65.0,L
163.0,65.0,L
163.0,65.0,L
163.0,65.0,L
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
164.0,55.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
170.0,59.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
158.0,70.0,XL
158.0,70.0,XL
174.0,63.0,L
174.0,63.0,L
174.0,63.0,L
174.0,63.0,L
174.0,63.0,L
183.0,67.0,L
183.0,67.0,L
183.0,67.0,L
183.0,67.0,L
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
168.0,53.0,S
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
163.0,52.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
165.0,54.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
158.0,57.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
150.0,46.0,M
157.0,56.0,M
157.0,56.0,M
157.0,56.0,M
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
153.0,42.0,S
168.0,55.0,S
168.0,55.0,S
